,Head Size(cm^3),Brain Weight(grams)
0,4512,1530
1,3738,1297
2,4261,1335
3,3777,1282
4,4177,1590
5,3585,1300
6,3785,1400
7,3559,1255
8,3613,1355
9,3982,1375
10,3443,1340
11,3993,1380
12,3640,1355
13,4208,1522
14,3832,1208
15,3876,1405
16,3497,1358
17,3466,1292
18,3095,1340
19,4424,1400
20,3878,1357
21,4046,1287
22,3804,1275
23,3710,1270
24,4747,1635
25,4423,1505
26,4036,1490
27,4022,1485
28,3454,1310
29,4175,1420
30,3787,1318
31,3796,1432
32,4103,1364
33,4161,1405
34,4158,1432
35,3814,1207
36,3527,1375
37,3748,1350
38,3334,1236
39,3492,1250
40,3962,1350
41,3505,1320
42,4315,1525
43,3804,1570
44,3863,1340
45,4034,1422
46,4308,1506
47,3165,1215
48,3641,1311
49,3644,1300
50,3891,1224
51,3793,1350
52,4270,1335
53,4063,1390
54,4012,1400
55,3458,1225
56,3890,1310
57,4166,1560
58,3935,1330
59,3669,1222
60,3866,1415
61,3393,1175
62,4442,1330
63,4253,1485
64,3727,1470
65,3329,1135
66,3415,1310
67,3372,1154
68,4430,1510
69,4381,1415
70,4008,1468
71,3858,1390
72,4121,1380
73,4057,1432
74,3824,1240
75,3394,1195
76,3558,1225
77,3362,1188
78,3930,1252
79,3835,1315
80,3830,1245
81,3856,1430
82,3249,1279
83,3577,1245
84,3933,1309
85,3850,1412
86,3309,1120
87,3406,1220
88,3506,1280
89,3907,1440
90,4160,1370
91,3318,1192
92,3662,1230
93,3899,1346
94,3700,1290
95,3779,1165
96,3473,1240
97,3490,1132
98,3654,1242
99,3478,1270
100,3495,1218
101,3834,1430
102,3876,1588
103,3661,1320
104,3618,1290
105,3648,1260
106,4032,1425
107,3399,1226
108,3916,1360
109,4430,1620
110,3695,1310
111,3524,1250
112,3571,1295
113,3594,1290
114,3383,1290
115,3499,1275
116,3589,1250
117,3900,1270
118,4114,1362
119,3937,1300
120,3399,1173
121,4200,1256
122,4488,1440
123,3614,1180
124,4051,1306
125,3782,1350
126,3391,1125
127,3124,1165
128,4053,1312
129,3582,1300
130,3666,1270
131,3532,1335
132,4046,1450
133,3667,1310
134,2857,1027
135,3436,1235
136,3791,1260
137,3302,1165
138,3104,1080
139,3171,1127
140,3572,1270
141,3530,1252
142,3175,1200
143,3438,1290
144,3903,1334
145,3899,1380
146,3401,1140
147,3267,1243
148,3451,1340
149,3090,1168
150,3413,1322
151,3323,1249
152,3680,1321
153,3439,1192
154,3853,1373
155,3156,1170
156,3279,1265
157,3707,1235
158,4006,1302
159,3269,1241
160,3071,1078
161,3779,1520
162,3548,1460
163,3292,1075
164,3497,1280
165,3082,1180
166,3248,1250
167,3358,1190
168,3803,1374
169,3566,1306
170,3145,1202
171,3503,1240
172,3571,1316
173,3724,1280
174,3615,1350
175,3203,1180
176,3609,1210
177,3561,1127
178,3979,1324
179,3533,1210
180,3689,1290
181,3158,1100
182,4005,1280
183,3181,1175
184,3479,1160
185,3642,1205
186,3632,1163
187,3069,1022
188,3394,1243
189,3703,1350
190,3165,1237
191,3354,1204
192,3000,1090
193,3687,1355
194,3556,1250
195,2773,1076
196,3058,1120
197,3344,1220
198,3493,1240
199,3297,1220
200,3360,1095
201,3228,1235
202,3277,1105
203,3851,1405
204,3067,1150
205,3692,1305
206,3402,1220
207,3995,1296
208,3318,1175
209,2720,955
210,2937,1070
211,3580,1320
212,2939,1060
213,2989,1130
214,3586,1250
215,3156,1225
216,3246,1180
217,3170,1178
218,3268,1142
219,3389,1130
220,3381,1185
221,2864,1012
222,3740,1280
223,3479,1103
224,3647,1408
225,3716,1300
226,3284,1246
227,4204,1380
228,3735,1350
229,3218,1060
230,3685,1350
231,3704,1220
232,3214,1110
233,3394,1215
234,3233,1104
235,3352,1170
236,3391,1120
